cell,batch,duration_ns
moves/census/ADD/groups/pooled/incremental,21,166718696
moves/census/ADD/groups/pooled/incremental,22,169750649
moves/census/ADD/groups/pooled/incremental,23,162377700
moves/census/ADD/groups/pooled/incremental,24,164702713
moves/census/ADD/groups/pooled/incremental,25,166858437
moves/census/ADD/groups/pooled/incremental,26,168681539
moves/census/ADD/groups/pooled/incremental,27,169186440
moves/census/ADD/groups/pooled/incremental,28,162674674
moves/census/ADD/groups/pooled/incremental,29,165704002
moves/census/DROP/groups/lower/full,0,163661179
moves/census/DROP/groups/lower/full,1,158614266
moves/census/DROP/groups/lower/full,2,162819672
moves/census/DROP/groups/lower/full,3,163682357
moves/census/DROP/groups/lower/full,4,164066688
moves/census/DROP/groups/lower/full,5,164011046
moves/census/DROP/groups/lower/full,6,159914860
moves/census/DROP/groups/lower/full,7,165898117
moves/census/DROP/groups/lower/full,8,163749432
moves/census/DROP/groups/lower/full,9,163381086
moves/census/DROP/groups/lower/full,10,165529521
moves/census/DROP/groups/lower/full,11,165215684
moves/census/DROP/groups/lower/full,12,154139997
moves/census/DROP/groups/lower/full,13,164444732
moves/census/DROP/groups/lower/full,14,161599162
moves/census/DROP/groups/lower/full,15,165361426
moves/census/DROP/groups/lower/full,16,160872827
moves/census/DROP/groups/lower/full,17,167431054
moves/census/DROP/groups/lower/full,18,163552972
moves/census/DROP/groups/lower/full,19,155501159
moves/census/DROP/groups/lower/full,20,161384637
moves/census/DROP/groups/lower/full,21,160282012
moves/census/DROP/groups/lower/full,22,160606789
moves/census/DROP/groups/lower/full,23,160569101
moves/census/DROP/groups/lower/full,24,164987394
moves/census/DROP/groups/lower/full,25,157074890
moves/census/DROP/groups/lower/full,26,161238422
moves/census/DROP/groups/lower/full,27,152617686
moves/census/DROP/groups/lower/full,28,161650709
moves/census/DROP/groups/lower/full,29,161347048
moves/census/DROP/groups/lower/incremental,0,154150184
moves/census/DROP/groups/lower/incremental,1,154541515
moves/census/DROP/groups/lower/incremental,2,156633634
moves/census/DROP/groups/lower/incremental,3,151621045
moves/census/DROP/groups/lower/incremental,4,153311917
moves/census/DROP/groups/lower/incremental,5,154131528
moves/census/DROP/groups/lower/incremental,6,152840671
moves/census/DROP/groups/lower/incremental,7,150649222
moves/census/DROP/groups/lower/incremental,8,153696328
moves/census/DROP/groups/lower/incremental,9,154449760
moves/census/DROP/groups/lower/incremental,10,145400802
moves/census/DROP/groups/lower/incremental,11,152210884
moves/census/DROP/groups/lower/incremental,12,154572652
moves/census/DROP/groups/lower/incremental,13,152258643
moves/census/DROP/groups/lower/incremental,14,149508214
moves/census/DROP/groups/lower/incremental,15,158611954
moves/census/DROP/groups/lower/incremental,16,154172796
