query,truth,zero_truth,frozen_estimate,fresh_replay_estimate,fresh_native_estimate,frozen_qerror,fresh_replay_qerror,semantic_relative_error,mcv_trace_changed,fd_trace_changed,control_class
dmv.1158,77636,False,,77671.9497034093,77671.94970340928,,1.0004630545547077,1.873509714116024e-16,False,False,unchanged
dmv.1159,196809,False,,18132.20439526191,18132.204395261906,,10.854113251195633,2.0063632241220194e-16,False,False,unchanged
dmv.1160,11306898,False,,11404913.242565723,11404913.242565721,,1.0086686235752478,1.633195369061768e-16,False,False,unchanged
dmv.1161,579276,False,,661405.369696486,661405.3696964859,,1.1417793412751194,1.760120603199169e-16,False,False,unchanged
dmv.1162,8521806,False,,8553258.374075027,8553258.374075022,,1.0036908108533598,6.533107271294338e-16,False,False,unchanged
dmv.1163,11305455,False,,11367943.524294756,11367943.524294756,,1.0055272896398029,0.0,False,False,unchanged
dmv.1164,11545960,False,,11627658.577434039,11627658.577434039,,1.007075944956854,0.0,False,False,unchanged
dmv.1165,527626,False,,781466.782427438,781466.7824274376,,1.481099836678704,4.469108263257925e-16,False,False,unchanged
dmv.1166,10069129,False,,10189204.348142013,10189204.348142011,,1.0119250978055812,1.8280575063455353e-16,False,False,unchanged
dmv.1167,10478315,False,,10401138.17191326,10401138.17191326,,1.0074200368085815,0.0,False,False,unchanged
dmv.1168,10096783,False,,10247605.247937223,10247605.247937223,,1.0149376536999184,0.0,False,False,unchanged
dmv.1169,792766,False,,799753.0964394667,799753.0964394665,,1.00881356723102,2.9112815528997787e-16,False,False,unchanged
dmv.1170,1813960,False,,1964646.5867621298,1964646.5867621293,,1.083070512449078,2.3702038343454974e-16,False,False,unchanged
dmv.1171,9391972,False,,9450258.385866243,9450258.385866243,,1.0062059795180653,0.0,False,False,unchanged
dmv.1172,230074,False,,258378.50588928658,258378.5058892867,,1.1230234876139267,4.505611696540189e-16,False,False,unchanged
dmv.1173,11386056,False,,11473442.08726504,11473442.087265039,,1.007674833784854,1.6234405813564896e-16,False,False,unchanged
dmv.1174,2264843,False,,2265803.4070631885,2265803.4070631894,,1.000424050171773,4.1103414873164477e-16,False,False,unchanged
dmv.1175,16782,False,,19631.52572144304,19631.52572144304,,1.1697965511526063,0.0,False,False,unchanged
dmv.1176,1118417,False,,1116382.2677726003,1116382.2677726,,1.0018226124564478,2.0855817077640626e-16,False,False,unchanged
dmv.1177,11169947,False,,11259644.155967195,11259644.155967195,,1.0080302221637394,0.0,False,False,unchanged
dmv.1178,5650396,False,,5622056.205595741,5622056.205595741,,1.005040823742753,0.0,False,False,unchanged
